1,0.008288,-0.023667,0.008153,-0.023569,C118-C120,f1p1
0,0.008167,-0.023530,0.008135,-0.023492,C133,f1e3
1,0.008194,-0.023493,0.008131,-0.023426,C125-C127,f1p2
1,0.008310,-0.023426,0.008240,-0.023335,C112-C114,f1p3
1,0.008193,-0.023426,0.008131,-0.023334,C121-C123,f1p3
0,0.008153,-0.023274,0.008130,-0.023210,C121,f1e2
1,0.008313,-0.023203,0.008241,-0.023086,C108-C110,f1p6
1,0.008196,-0.023210,0.008136,-0.023087,C115-C117,f1p6
1,0.008308,-0.023086,0.008240,-0.022994,C104-C106,f1p7
1,0.008197,-0.023088,0.008141,-0.022994,C111-C113,f1p7
1,0.008197,-0.022964,0.008143,-0.022910,C105-C107,f1p8
1,0.008197,-0.022910,0.008144,-0.022839,C101-C103,f1p9
