1,NONE
2,NONE
3,F299.23-F299.712-62 F293.35-F299.23 
4,F293.3-F293.35 F284-F293.3
5,F279.5-F284 F279.26-F279.382
6,F279.24-F279.26 F279.24-F279.24
7,F279.23-F279.24 F279.23-F279.23
8,F279.23-F279.23 F279.2-F279.23
9,F279.1-F279.2 F276.7-F279.1
10,F276.6-F276.7 F276.6-F276.6
11,F276.43-F276.6 F276.3-7276.43
12,F275.2-F276.2 F275-03-F275.2
13,F275-F275 F275-F275
14,F274-05-F275 F274-F274
15,F274-F274 F274-F274
16,NONE F822.5-F83-65
17,F821-F822.2 F820-F820.5
18,F812.7-F820 F812.42-F812.5-53
19,F812.42-F812.42 F812.42-F812.42
20,F812.0-53-F812.42 F810.6-F812.0
21,F810.42-F810.6 F810-03-F810.42
22,F752.65-F763 F764-F810
23,F752-F752.62 F743-53-F752
24,F740.44-F743 F740.4-F740.43-53
25,F740.2-F740.4 F740-F740.2
26,F74-F740 F727.35-F74
27,F721.8-F727 F719.2-F721.7-62
28,F719-F719.2 F718-F719
29,F715.51-44-F717.6 F715-39-F715.51
30,F715-F715 F715-F715
31,F273.4-F273.7 F273.2-F273.4
32,F273.2-F273.2 F273-39-F273.2
33,F272.92-39-F273 F272.92-F272.92
34,F272.92-F272.92 F272.92-F272.92
35,F272.92-F272.92 F272.92-F272.92
36,F272.91-F272.91-62 F272.91-F272.91
37,F272.9-61-F272.91 F272.9-F272.9
38,F272.5-F272.9 F272.1-F272.3-62
39,F271-03-F272 F271-F271
40,F270.7-4-F271 F270.7-F270.7
41,F270.7-F270.7 F270.7-F270.7
42,F270.7-F270.7 F270.7-F270.8
43,F270-61-F270.3 F270-53-F270-55
44,F270-49-F270-53 F270-44-F270-49
45,F270-05-F270-42 F270-02-F272-05
46,F713.80-F714.2
47,F712.8-09-F719.80 F713.8-F713.8
48,F713.55-F713.8 F713.50-F-05-F713.55
49,F713.50-F713.50
50,F713.50-F713.50 F713.50-F713.50
51,F713.5-F713.5-61 F713.36-F713.4
52,F713.36-F713.36 F713-49-F713.519
53,F713.3-F713.3 F713-33-F713.3
54,F632.765-F713 F592.1-F632.7
55,F590.63-F592.0 F590-F590.63
56,F511.4-F590 F456.1-F511.3
57,F426.67-F454.69 F424-53-F426.67
58,F407.9-FF424-F406.72-F407.9
59,F406-F406.72 F329.3-F406
60,F321.1-F329.07 F3-F321.1
61,F842.6-F847.12 F840.6-F842.6
62,F840.32-F840.6 F837.129-F840.32
63,F837.121-F837.126 F832.7-F837.12
64,F832.5-F832.7 F832.5-F832.5
65,F832.35-F832.5 F832.1-F832.33-62
66,F831.6-F832.1 F831-F831.6
67,F830.9-5-F831 F830.9-F830.9
68,F830.9-F830.9 F830.9-F830.9
69,F830.59-39-F830.9 F830.59-F830.59
70,F830.49-F830.59 F830.39-F830.49
71,F830.2-F830.35 F830-F830.2
72,F127.55-53 F131.553-F178.344
73,F124.1-F126.1 F126.1-F127.55
74,F121-F123.16 F123.16-F124-64
75,F119.9-F12-53 F12-53-F121
76,F11-F112.7-53
77,F09.13-F097.125 
78,F062.9-F091.3 F062.4-F012.4
79,F038.1-F061.3 F061.3-F062.4
80,NONE
81,F015-F016 F016-F038-53
82,F0-53-F014.1 F014.1-F015
83,F0-F0-5 F0-12-F0-53
84,F-F0 F0-F0
85,F270-F270
86,F270-F270
87,F270-F270
88,F270-F270
89,F270-F270
90,F252-F253.4 F253.4-F270
91,F239.6-F241 F241-F252
92,F234.4-F139.0 F239.0-F239.6
93,F232-F234.3 F234.3-F234.4
94,F230-F231.5 F231.5-F232
95,F23-41-F230 F230-F230
96,F224.0-F23 F23-4
97,F2-F222 F222-F224
